product_id,title,description,brand,category,subcategory,color,size,gender,condition,price,currency,attributes
P001,"Nike Men's Black Running Shoes Size 44","Lightweight black running shoes for men with breathable mesh upper.","Nike","Fashion","Shoes","black","44","men","new",89.99,"EUR","sport=running;material=mesh"
P002,"Adidas Women's White Sneakers Size 38","Classic white lifestyle sneakers for women with cushioned sole.","Adidas","Fashion","Shoes","white","38","women","new",74.99,"EUR","sport=lifestyle;material=synthetic"
P003,"Apple iPhone 13 128GB Black","Unlocked Apple iPhone 13 with 128GB storage in black color.","Apple","Electronics","Smartphones","black","128GB","unisex","used",499.00,"EUR","storage=128GB;network=unlocked"
P004,"Samsung Galaxy S22 256GB Green","Android smartphone with 256GB storage and green finish.","Samsung","Electronics","Smartphones","green","256GB","unisex","used",449.00,"EUR","storage=256GB;network=unlocked"
P005,"Sony WH-1000XM4 Wireless Headphones Black","Noise cancelling wireless over-ear headphones in black.","Sony","Electronics","Headphones","black","one-size","unisex","new",229.99,"EUR","connectivity=wireless;feature=noise-cancelling"
P006,"Apple Watch Series 8 Pink Sport Band","Smartwatch with pink sport band and fitness tracking features.","Apple","Electronics","Wearables","pink","one-size","unisex","new",319.00,"EUR","device=smartwatch;feature=fitness-tracking"
P007,"Levi's Men's Blue Slim Fit Jeans W32 L32","Blue slim fit denim jeans for men with classic five-pocket design.","Levi's","Fashion","Jeans","blue","W32 L32","men","new",69.99,"EUR","fit=slim;material=denim"
P008,"Zara Women's Red Summer Dress Size M","Light red summer dress for women, suitable for casual wear.","Zara","Fashion","Dresses","red","M","women","new",39.99,"EUR","season=summer;style=casual"
P009,"Dell XPS 13 Laptop i7 16GB RAM 512GB SSD","Compact laptop with Intel i7 processor, 16GB RAM and 512GB SSD.","Dell","Electronics","Laptops","silver","13-inch","unisex","new",1199.00,"EUR","cpu=i7;ram=16GB;storage=512GB SSD"
P010,"Lenovo ThinkPad T14 Business Laptop i5 16GB","Durable business laptop with Intel i5 CPU and 16GB RAM.","Lenovo","Electronics","Laptops","black","14-inch","unisex","used",699.00,"EUR","cpu=i5;ram=16GB;type=business"
P011,"IKEA White Wooden Desk 120cm","Minimal white wooden desk for home office and study rooms.","IKEA","Home","Furniture","white","120cm","unisex","new",129.00,"EUR","material=wood;room=office"
P012,"IKEA Black Office Chair Ergonomic","Black ergonomic office chair with adjustable height and lumbar support.","IKEA","Home","Furniture","black","one-size","unisex","new",149.00,"EUR","room=office;feature=ergonomic"
P013,"Canon EOS M50 Mirrorless Camera Black","Compact mirrorless camera for photography and video recording.","Canon","Electronics","Cameras","black","one-size","unisex","used",549.00,"EUR","type=mirrorless;usage=photography"
P014,"GoPro HERO11 Action Camera Waterproof","Waterproof action camera for sports and outdoor recording.","GoPro","Electronics","Cameras","black","one-size","unisex","new",399.00,"EUR","type=action-camera;feature=waterproof"
P015,"The North Face Men's Winter Jacket Black Size L","Warm black winter jacket for men with waterproof outer shell.","The North Face","Fashion","Jackets","black","L","men","new",189.99,"EUR","season=winter;feature=waterproof"
P016,"H&M Women's Beige Wool Coat Size S","Beige wool coat for women, suitable for autumn and winter.","H&M","Fashion","Coats","beige","S","women","new",99.99,"EUR","material=wool;season=winter"
P017,"Philips Air Fryer XL Black","Large black air fryer for healthy cooking with rapid air technology.","Philips","Home","Kitchen","black","XL","unisex","new",139.99,"EUR","appliance=air-fryer;capacity=XL"
P018,"Dyson V11 Cordless Vacuum Cleaner","Powerful cordless vacuum cleaner for home cleaning.","Dyson","Home","Appliances","grey","one-size","unisex","used",379.00,"EUR","type=cordless;appliance=vacuum"
P019,"Logitech MX Master 3 Wireless Mouse Black","Ergonomic wireless mouse for productivity and office work.","Logitech","Electronics","Accessories","black","one-size","unisex","new",89.99,"EUR","connectivity=wireless;usage=productivity"
P020,"Apple Magic Keyboard German Layout White","Wireless Apple keyboard with German QWERTZ layout.","Apple","Electronics","Accessories","white","one-size","unisex","new",109.00,"EUR","layout=DE;connectivity=wireless"
